Flag URL,Teams,Team code
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/2560px-Flag_of_Argentina.svg.png,Argentina,ARG
https://imagepng.org/wp-content/uploads/2017/10/bandeira-australia.png,Australia,AUS
https://imagepng.org/wp-content/uploads/2017/04/bandeira-do-brasil.png,Brazil,BRA
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Canada.png/1024px-Flag_of_Canada.png,Canada,CAN
https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/2560px-Flag_of_Chile.svg.png,Chile,CHI
https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_China.png/1024px-Flag_of_China.png,China PR,CHN
https://upload.wikimedia.org/wikipedia/commons/0/0b/Flag_of_Cameroon.png,Cameroon,CMR
https://www.picng.com/upload/england/png_england_83714.png,England,ENG
https://imagepng.org/wp-content/uploads/2017/09/bandeira-espanha.png,Spain,ESP
https://imagepng.org/wp-content/uploads/2017/10/bandeira-fran%C3%A7a.png,France,FRA
https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_Germany_%283-2_aspect_ratio%29.svg/2560px-Flag_of_Germany_%283-2_aspect_ratio%29.svg.png,Germany,GER
https://imagepng.org/wp-content/uploads/2017/10/bandeira-italia.png,Italy,ITA
https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Jamaica.png,Jamaica,JAM
https://imagepng.org/wp-content/uploads/2017/08/bandeira-do-japao.png,Japan,JPN
https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_South_Korea.png/1024px-Flag_of_South_Korea.png,Korea Republic,KOR
https://upload.wikimedia.org/wikipedia/commons/b/b2/Flag_of_the_Netherlands.png,Netherlands,NED
https://upload.wikimedia.org/wikipedia/commons/b/b6/Flag_of_Nigeria.png,Nigeria,NGA
https://upload.wikimedia.org/wikipedia/commons/f/f1/Flag_of_Norway.png,Norway,NOR
https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/1280px-Flag_of_New_Zealand.svg.png,New Zealand,NZL
https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/1280px-Flag_of_South_Africa.svg.png,South Africa,RSA
https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Scotland_Pantone300.png,Scotland,SCO
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/1280px-Flag_of_Sweden.svg.png,Sweden,SWE
